prompt,answer
The Hay-Bunau-Varilla Treaty of 1903 is significant because it,paved the way for the Panama Canal project.
President Wilson's unwillingness to compromise over the issue of the League of Nations resulted in,the failure of the Senate to approve the Treaty of Versailles.
"At the Yalta Conference of 1945, President Franklin D. Roosevelt was most worried about the views expressed by",Joseph Stalin on Eastern Europe.
The United States became politically involved in Vietnam immediately after,France was defeated by the Vietminh.
"When Europeans arrived in the Americas in the 15th and 16th centuries, they found",established societies that contained various forms of government.
"Henry Clay, ""The Great Compromiser,"" was instrumental in engineering compromises that resulted in all of the following EXCEPT",Rutherford Hayes becoming president.
"""I consider the tariff as the occasion rather than as the cause of the unhappy state of things. The truth can no longer be disguised that the peculiar domestic institution of the southern states and the consequent direction which her soil and climate have given to her industry has placed them in regard to taxation and appropriation in opposite relation to the majority of the nation."" Which of the following statements are supported in the above quote from John C. Calhoun? I.  The existence of slavery is the result of nature and geography. II.  Sectionalism was based on slavery, not states' rights. III.  The tariff was the most important cause of sectional tensions. IV.  The majority of the nation agreed with the Southern viewpoint on slavery.",I and II
The Industrial Workers of the World was known for being,the most militant and anticapitalist union of the late 1800s and early 1900s.
All of the following are reasons for the U.S. entry into World War I EXCEPT,the American commitment to the Triple Alliance.
The Stimson Doctrine of 1932 called for,a condemnation by the United States of Japan's actions in Manchuria.
The Soviet Union responded to the formation of the North Atlantic Treaty Organization (NATO) by,forming the Warsaw Pact.
"In the ""Checkers speech,"" Richard Nixon",denied allegations that he had improperly received gifts during his 1952 bid for the vice-presidency.
"Of the following ideas, which was NOT part of the Brown v. Board of Education of Topeka decision?",The original intent of the 14th Amendment was to end school segregation.
"In 1500, the civilizations of Mexico and Central America differed from the civilizations of the North American Plains Indians in that the Plains Indians","were nomadic, while the civilizations of Mexico and Central America were more stable."
Which of the following statements concerning the New England colonies in the 17th century is true?,The New England colonies grew faster than the Southern colonies through natural reproduction.
Which of the following was NOT a presidential action of Andrew Jackson?,He defeated the English in the Battle of New Orleans after the War of 1812 was over.
"The mechanical reaper, invented by Cyrus McCormick in the 1830s, was most significant because it",cut wheat at a greater rate than the scythe.
"The phrase ""With malice toward none, with charity toward all"" refers to Lincoln's attitude toward",the rebellious South near the end of the Civil War.
The social gospel is a term usually associated with the,urban reform movement of the 1890s and 1900s.
One reason President Franklin D. Roosevelt was not a strong advocate of civil rights for African Americans was that he,feared losing the support of the Southern Democrats in Congress.
Which of the following cases declared that prayer in the public school was unconstitutional?,Engel v. Vitale
"When Stokely Carmichael became the leader of the Student Non-Violent Coordinating Committee in 1966, its key slogan changed from","Freedom Now to ""Black Power."""
Which of the following statements about 18th-century America is true?,"After 1763, the colonists were prohibited from settling beyond the Appalachian Mountains."
The War Hawks demanded war against Britain in 1812 to,eliminate the Native American threat in the Northwest.
"In explaining why the nullification of the 1828 Tariff of Abominations was justified, John C. Calhoun contended that",the states were sovereign because they had formed a compact called the Constitution.
"Moby-Dick by Herman Melville, representative of the American Renaissance of the 1840s, is significant in that it",used a predominately American occupation to explore man's struggles with the natural world and good and evil.
"In the Plessy v. Ferguson decision of 1896, the Supreme Court",declared that segregation of the races was acceptable.
"Jacob Riis's book, How the Other Half Lives, was significant in that it",exposed the living conditions of the urban poor at the turn of the 20th century.
"The American reaction to Germany's announced intention of resuming unrestricted submarine warfare, violating the Sussex Pledge, was to",declare war on Germany.
Which of the following statements about American cities in the post-World War II period (1945-1970) is NOT true?,The Urban Renewal program was a huge success in eliminating slums and poverty in American cities.
The primary goal of Martin Luther King Jr.'s Southern Christian Leadership Conference was to,use nonviolent resistance to achieve desegregation.
President Clinton was impeached by the House of Representatives because there was evidence that he had,committed perjury when testifying about the Monica Lewinsky affair.
Taverns of the 1700s were important because they,provided a place for an exchange of information among the colonists.
The Great Awakening of the 1730s and 1740s was important because,it caused people to question established authority.
"To correct the weaknesses of the Articles of Confederation, the writers of the Constitution in 1787 included",provisions for an executive and a judicial branch of government.
The Second Bank of the United States was important in that it,was the central component of the American System supported by the Whigs.
The acquisition of territory from Mexico as a result of the Mexican War was most significant in that it,heightened sectional tensions over the issue of slavery.
Resources of the North and South in the Civil War (Represented as a ratio),Male Population Ages 18-60
Passage of the Reconstruction Act of 1867 signaled the,beginning of Congressional Reconstruction.
Which of the following statements is true of the Populist movement?,Its platform in 1892 called for government ownership of banks and railroads.
One of the first actions taken by President Franklin D. Roosevelt after his inauguration in 1933 was to,declare a bank holiday.
One of President Nixon's most important diplomatic initiatives was to,open diplomatic relations between China and the United States.
European exploration of the Americas resulted in all of the following EXCEPT the,development of unified resistance by the Native Americans to European settlement.
"The Maryland Act of Toleration, passed in 1649, was significant in that it",provided religious freedom to Christians.
The Battle of Saratoga was considered the turning point of the American Revolution because it,prompted France to enter the war in support of the colonies.
"""We demand that all immigrants to the United States reside here at least 14 years before they may apply for citizenship."" Which party advocated the above idea as its main political position?",The Know-Nothing Party
Lincoln fired General George McClellan because he,was too timid to engage the enemy.
"""Sod busters"" was a nickname given to",frontier farmers on the Great Plains in the 1860s and 1870s.
"The phrase ""Speak softly and carry a big stick,"" originally referred to",President Theodore Roosevelt's policy in regard to Latin America.
Rosie the Riveter was a symbol of the,participation of women in the war effort during World War II.
"The ""War on Poverty"" was an attempt by",President Lyndon Johnson to end hunger and economic hardship in the United States.
"George W. Bush defined the ""axis of evil"" as","Iran, Iraq, and North Korea."
Which events are correctly paired to reflect cause and effect?,William and Mary's ascension to the throne in England-the overthrow of the Dominion of New England
"The War of 1812 has often been called the ""Second War of Independence"" because it",marked the last major conflict between England and the United States.
"The Whig Party, which existed 1833-1854, supported all of the following EXCEPT",admitting Texas to the United States in 1844.
Mechanization of agriculture in the late 1800s,drove down prices of agricultural goods.
The Progressive movement's most significant impact on American society was,establishing that federal legislation can be used to regulate business.
Frank Capra was a Depression-era film director whose artistic response to the Great Depression could best be described as,"earnest films, such as Mr. Smith Goes to Washington, which suggested that the problems of the era could be solved by old-fashioned values rather than sweeping political or economic change."
Herbert Hoover reacted to the Depression of 1929 by,providing loans to industry to restart production.
The midterm congressional elections of 1994 were significant because,the Republican Party gained control of Congress.
"Which of the following statements is true of the encomienda system, established by the Spanish in the New World?",The system resulted in the exploitation of the Native American population by the Spanish.
"The Great Compromise, agreed upon during the Constitutional Convention,",established a two-house legislative branch of government.
"""Both parties deprecated war, but one of them would make war rather than let the nation survive, and the other would accept war rather than let it perish, and the war came."" -Abraham Lincoln, Second Inaugural Address, 1865 Which of the following statements is an accurate interpretation of the above quote?",The war started due to the actions of both sides.
"In the second half of the 19th century, mining went from being an endeavor dominated by individual prospectors to one dominated by a few large corporations because",the machinery required for extracting ore cost more than most prospectors could afford.
The temperance movement of the 19th century,had a strong appeal among women.
The Harlem Renaissance can best be described as,"a self-conscious effort by African Americans to promote their literature, music, and art."
"Sarge, I'm only eighteen, I got a ruptured spleen and I always carry a purse. I got eyes like a bat, my feet are flat, and my asthma's getting worse. Which of the following is an accurate statement about this 1964 song by Phil Ochs, ""Draft Dodger Rag""?",It encouraged an antimilitary attitude.
"C. Everett Koop, President Reagan's Surgeon General, made headlines when he",launched a major campaign to prevent smoking.
"When President George H. W. Bush spoke of a New World Order, he was referring to",the importance of the United Nations as a force to settle international disputes after the fall of the Soviet Union.
Which of the following statements is an accurate description of differences between immigration patterns in the late 19th century and late 20th century?,"The more recent immigrants were primarily from Asia and Latin America, while the older immigrants were primarily from Europe."
The Virginia House of Burgesses and the Fundamental Orders of Connecticut were similar in that both,provided for representative democracy.
Thomas Jefferson and Alexander Hamilton were similar in that they both,used the elastic clause to justify actions they had taken.
"""We are opposed to the extension of slavery because it diminishes the productive powers of its population…. It is an obstacle to compact settlements and to every general system of public institution. [If slavery goes into the territories] the free labor of all the states will not…. [I]f the free labor of all the states goes there, the slave labor of the southern states will not, and in a few years the country will teem with an active and energetic population."" -Editorial, New York Evening Post, 1847 Why will free labor not go where there is slavery, according to the above excerpt?",Slaves prevent the growth of productive communities.
"Helen Hunt Jackson's 1881 book, A Century of Dishonor, chronicled the",government's record of broken treaties and promises in regard to Native Americans.
"The 17th Amendment (direct election of U.S. Senators), the initiative, and the recall were all intended to",give the people more power in the democratic process.
Eugene V. Debs and Robert M. La Follette were similar in that both,ran for president on third-party tickets.
"As part of President Franklin Roosevelt's plan to fight the Great Depression, the Agricultural Adjustment Act (AAA) was passed to",help raise the prices of farm goods so that farmers could survive the Depression.
The Smith Act of 1940 and the McCarran Act of 1950 are similar in that they both,were used to hamper the activities of the Communist Party.
"When Gerald Ford said ""the long national nightmare is over,"" he was referring to the end of the",Watergate Scandal.
"In his first year in office, President Ronald Reagan",fired air traffic controllers who refused to end their strike for shorter hours and higher pay.
The Mayflower Compact can best be characterized as,a formal agreement signed by the Puritans that created a democratic process.
,wanted a railroad to the West that would start in Chicago.
"""Our government's foundations are laid; its cornerstone rests upon the great truth that the Negro is not equal to the white man, that slavery and subordination to the superior race is his natural and moral condition. This, our new government, is the first in the history of the world based upon this great physical, philosophical, and moral truth…. Our Confederacy is founded upon principles in strict conformity with these laws. This stone, which was rejected by the first builders, has become the chief stone of the new corner in our edifice."" -Alexander Stephens, Vice President of the Confederacy, March 21, 1861 Which of the following is an accurate interpretation of Alexander Stephens's statement?",Slavery was the proper philosophical basis for the Confederacy.
A major factor leading to U.S. imperialism in the 1890s was,the desire for new markets as industrial production outpaced domestic consumption.
Which of the following did not reinforce white supremacist notions of race relations in the United States?,The Niagara Movement
"A major function of the Federal Reserve System, established in 1913, was to",regulate the money supply.
Franklin D. Roosevelt attempted to pack the Supreme Court in 1937 because,the court had declared some New Deal legislation unconstitutional.
The Senate passed a censure motion against Senator Joseph McCarthy in the wake of,hearings that implicated high-ranking members of the military.
The Immigration Act of 1965 was significant in that it,opened the door to many non-European immigrants.
U.S. forces in Vietnam used Agent Orange primarily to,destroy the natural cover used by the Vietcong guerrillas.
One of the major reasons for the development of political parties in the 1790s was that,differences had developed concerning the interpretation of the Constitution.
Key components of Henry Clay's American system included,high protective tariffs and internal improvements.
Scalawag was a derogatory term used by,whites in the South to describe other Southerners who cooperated with Reconstruction.
José Marti and Emilio Aguinaldo are similar in that both,led nationalist movements in their respective countries.
"In the 1908 Muller v. Oregon decision, the Supreme Court",held that worker-protection laws do not violate the constitutional rights of employers.
The passage of the Emergency Quota Act in 1921 and the movement to prevent the teaching of evolution in public schools in the 1920s could best be seen as,conservative responses to social change.
"As the Civil Rights Movement shifted its focus to the North and issues of de facto segregation, which of the following became a central issue?",Blacks and whites living in separate neighborhoods
The Supreme Court decisions Gideon v. Wainwright and Miranda v. Arizona are significant in that they,expanded the rights of people accused of crimes.
President Jimmy Carter broke from previous U.S. administrations in foreign policy by,linking U.S. aid to foreign nations to improvements in human rights.
All of the following were initiatives of Clinton administration except the,Camp David Accords for peace between Israel and Egypt.
"Roger Williams, the founder of the colony of Rhode Island, supported the idea that",civil authority should be separated from church authority.
President Andrew Jackson vetoed the Bank Recharter Bill because he,"was opposed to the bank's monopolistic power, calling it a ""monster."""
"""The government, Sir, is the independent offspring of the popular will. It is not the creature of the state legislatures; nay more, if the whole truth must be told, the people brought it into existence, established it, and have hitherto supported it for the very purpose, amongst others, of imposing certain salutary restraints on state sovereignties …. The people, then, Sir, erected this government. They gave it a constitution, and in the constitution they have enumerated powers which they bestow on it."" From Daniel Webster's ""Second Reply to Hayne"" What argument was Daniel Webster responding to in the above passage?",The Compact Theory that the states were sovereign
"The Chinese Exclusion Act, passed in 1882, had the effect of",banning most Chinese people from immigrating to the United States.
The establishment of standard time zones occurred,in the 1880s to facilitate scheduling of railroad lines.
"Among the key components of President Theodore Roosevelt's ""Square Deal"" program were",regulation of trusts and consumer protection.
Black Tuesday is a significant day in U.S. history because it marks the beginning of,the Depression of 1929.
The increased membership in the NAACP and CORE during World War II resulted from the,discriminatory job practices against African Americans during World War II.
The main goal of the Marshall Plan was to,rebuild European economies with a recovery program.
Two significant events that occurred during the administration of Ronald Reagan were,the end of the Iran hostage crisis and the invasion of Grenada.
Which of the following contributed to the economic development of the colonies during the 1600s? I.  The addition of slavery as a source of labor II.  The growth of trade and commerce due to good harbors and an extensive river system III.  The British policy of salutary neglect IV.  The development of universal manhood suffrage V.  The Great Awakening,"I, II, and III"
"In the post-Reconstruction South, the economic arrangement known as sharecropping involved",landowners dividing up their land and allowing growers to use plots of land in exchange for a portion of the yearly yield.
The Mugwumps were Republican leaders who left the Republican Party in 1884 and supported the Democratic Party because they were,disappointed with the Republican presidential candidate's history of corruption.
The Social Security Act of 1935 was important in that it,offered direct relief to eligible unemployed and disabled individuals.
All of the following are reasons for the anti-immigrant sentiment that resulted in the quota system of the 1920s EXCEPT,"immigrants often took positions as indentured servants, which undermined the earning potential of American wage workers."
"As a result of the Proclamation of Neutrality issued by the United States in 1939, the United States","established a ""cash-and-carry"" system of trade with belligerent nations."
The immediate cause of U.S. military involvement in the Korean peninsula in 1950 was the,attack by North Korea on South Korea.
"As a result of President Truman's insistence that the Democratic Party include a civil rights plank in its 1948 platform,","many Southern Democrats, or Dixiecrats, left the Democratic convention and formed the States' Rights Democratic Party."
The Pentagon Papers contained information on all of the following presidents EXCEPT,Jimmy Carter.
"Columbus, Magellan, and Balboa were similar in that",their voyages were all sponsored by the Spanish government.
The delegates at the Constitutional Convention agreed that,Congress would not interfere with the importation of slaves for 20 years.
"""The manhood of the slave is conceded. It is admitted in the fact that Southern statute books are covered with enactments forbidding, under severe fines and penalties, the teaching of the slave to read or to write."" -Frederick Douglass, 1852 Why did Douglass point out that there were laws against teaching slaves to read?","To show that since only humans can read, slaves were human"
All of the following are considered factors in the collapse of Reconstruction in the 1870s EXCEPT,"the South had largely complied with the goals of Reconstruction, and the Radical Republicans felt satisfied that fairness and equality would exist in the South."
"The Bessemer process, which was important in the industrial growth of the United States in the second half of the 19th century, involved",injecting air into molten iron to remove carbon and produce steel inexpensively.
"Railroads challenged several of the ""Granger laws"" in court, claiming that they were unconstitutional. The Supreme Court rejected this claim in Munn v. Illinois on the grounds that",regulating business activities for the public good is a legitimate power of the states.
All of the following events contributed to Cold War tensions EXCEPT the,rejection of the Treaty of Versailles by the isolationist Senate.
"Napalm, a focus of antiwar protests during the Vietnam War, was",a weapon that burst into flames after adhering to its victim.
The McCain-Feingold Bill,introduced campaign finance reform by limiting soft-money contributions to political parties and prohibiting advocacy ads.
"The Neutrality Act of 1793, Jay's Treaty of 1795, and the Convention of 1800 were all similar in that they",delayed U.S. involvement in a war.
"To become an artisan in the 1830s, one had to",become an apprentice to a master craftsman.
"As part of the Compromise of 1850, the Fugitive Slave Law stated that",all citizens were responsible for catching fugitive slaves.
The Credit Mobilier scandal of the 1870s and the Teapot Dome of the 1920s are similar in that they both demonstrate the,willingness of politicians to accept bribes from large corporations in exchange for granting these corporations political favors.
Horizontal integration occurs in business when a company,acquires ownership or control over other companies in the same business.
The deployment of nuclear missiles to Cuba by the Soviet Union in 1962,prompted a blockade of Cuba by President Kennedy.
Buddhist monks set themselves on fire in 1963 as a protest against,the puppet Diem regime in South Vietnam.
"Andrew Goodman, Michael Schwerner, and James Chaney were lynched in Mississippi during Freedom Summer, when they were attempting to",help African Americans register to vote.
"When President Bill Clinton was tried by the Senate in 1999, it was necessary that",Chief Justice William Rehnquist preside over the impeachment trial.
A major reason for the founding of the Massachusetts Bay Colony in 1620 was to,provide freedom of worship for Puritans.
"According to Washington's Farewell Address, U.S. interests would best served by a foreign policy of",isolation from European affairs.
Dred Scott believed that he was entitled to freedom because he lived for a period of time in,"Illinois, which had been organized under the Northwest Ordinance."
Which of the following statements regarding the Confederate army's firing on Fort Sumter in 1861 is true?,Abraham Lincoln had previously sent supplies without extensive military protection.
"The films Birth of a Nation, directed by D. W. Griffith, and Gone with the Wind, based on a novel by Margaret Mitchell, are similar in that they both",presented the Old South in ways sympathetic to the former slaveholding class.
"The U.S. experiment in Prohibition, which lasted from 1920 to 1933, demonstrated that",it is difficult for the government to enforce laws that are unpopular with large segments of the public.
"Which of the following pairs of laws were enacted as part of President Lyndon Johnson's ""Great Society"" program?",The Medicare Act and the Equal Opportunity Employment Act
All of the following were part of the Watergate scandal EXCEPT,giving money to rebels in Nicaragua.
"Muhammad Ali was a significant figure in the 1960s, '70s, and '80s for all of the following reasons EXCEPT",he campaigned for Ronald Reagan in 1980.
Which of the following is a true statement in regard to foreign policy during the Clinton Administration?,Clinton sent more troops in peacetime around the world than any other president.
"Representative David Wilmot of Pennsylvania wrote an amendment to an appropriations bill for the Mexican War in 1846, which stated that ""there shall be no slavery or involuntary servitude in any territory acquired from Mexico."" These words represented a key element of the",Free Soil idea of the moderate antislavery politicians.
Stephen Douglas's Freeport Doctrine stated that,slavery can only exist where it has been supported by local law.
Which of the following statements is true in regard to President Theodore Roosevelt's environmental polices?,"Roosevelt worked closely with the head of the U.S. Forest Service, Gifford Pinchot, to set aside land for national parks, national monuments, and wildlife refuges."
"The Grapes of Wrath, John Steinbeck's Depression-era novel, chronicles the lives of",displaced Dust Bowl farmers.
President Franklin D. Roosevelt's actions were noteworthy because he,extended the direct influence of the government into the lives of the people.
"Which of the following statements about the 1947 Taft-Hartley Act, passed by Congress over President Truman's veto, is true?","It was condemned by unions because it barred closed shops and allowed the president to call an 80-day ""cooling-off"" period before a strike could proceed."
The Mississippi Freedom Democratic Party was formed in,"1964, to support African American representation at the Democratic convention."
Why did the Vietnamese build hundreds of miles of tunnels?,All of the above
"The ""Contract with America,"" put forward by congressional Republicans in 1994, included proposals to",decrease income taxes and force welfare recipients to find work.
Mercantilist policies contributed to the desire of the American colonies to become independent from Britain for all of the following reasons EXCEPT,they restricted trade among the different British colonies in America.
The Hartford Convention of 1814 was important because it,led to the death of the Federalist Party.
"In 1860, the Democratic Party split into two parts over","national slave codes, which called for all states to have slavery."
"The Civil War has been called the ""Second American Revolution"" because",it eliminated the old economic system of slavery and set the country on the road to rapid and unhindered economic growth.
The Interstate Commerce Act of 1887 and the National Industrial Recovery Act of 1933 are similar in that they both,extended the power of government into the regulation of business.
Which of the following statements is true in regard to the role of the Progressive movement in electoral politics?,Reform-minded politicians in both the Democratic and the Republican Parties worked on Progressive issues.
The most significant change in voting patterns in the 1930s was the,shift among African American voters from the Republican to the Democratic Party.
The End Poverty in California campaign and the Share the Wealth Society could best be described as,campaigns that argued the New Deal did not go far enough.
William H. Whyte's 1956 book The Organization Man and Sloan Wilson's 1955 book The Man in the Gray Flannel Suit are similar in that they both,analyzed the growing sense of conformity and the loss of individualism in American society.
The Saturday Night Massacre was important in that it,set the stage for the downfall of President Nixon.
One of the main reasons for the writing of the Declaration of Independence was,to gain support for the Revolution among the colonists.
The Northwest Ordinance of 1787 was significant for all of the following reasons EXCEPT that it,established militias for protection against the French.
Which idea is most consistent with the political philosophy of Alexander Hamilton?,The Constitution should be loosely interpreted.
"When Lincoln said ""Four score and seven years ago…,"" he was reminding his audience of the",signing of the Declaration of Independence.
"The platform of the People's (Populist) Party, ratified at its founding convention in Omaha, Nebraska, in 1892, consisted of all the following demands EXCEPT",an end to immigration restrictions.
Montgomery Ward and Richard Sears both played a significant role in the history of American commerce in the 19th century by,"creating mail-order catalogs, allowing rural people to purchase a wide assortment of goods."
President Theodore Roosevelt's foreign policy initiatives included all of the following EXCEPT,negotiating a treaty with Spain following the Spanish-American War.
President Woodrow Wilson's actions during the debate in the U.S. Senate over the ratification of the Treaty of Versailles demonstrated his,all-or-nothing attitude in regard to acceptance of the League of Nations.
U.S. foreign policy with regard to conflicts in the Middle East since the 1960s has been influenced by the desire to balance the,independence of Israel with the need for oil from the Arab states.
"When many savings and loan banks in the 1980s failed, the federal government",used tax money to bail out the banks.
Which of the following statements regarding the American Revolution is true?,John Adams defended the British Soldiers involved in the Boston Massacre.
Shays's Rebellion was important in that it,was a catalyst that led to the scrapping of the Articles of Confederation.
"During the John Adams administration, the Virginia and Kentucky Resolutions",introduced the idea of nullification.
"In the Emancipation Proclamation, Abraham Lincoln stated that all",slaves in the states in rebellion would be freed.
All of the following books could be used to justify the prevailing economic conditions in Gilded Age America EXCEPT,Looking Backward: 2000-1887 (1888) by Edward Bellamy.
Josiah Strong and Alfred T. Mahan were American writers in the late 19th century who were noted for,supporting an imperialist foreign policy.
"Although the Progressive movement consisted of a diversity of interests, a common belief held by most Progressives was that",the role of the government should be expanded to address social and economic problems.
Which of the following is true of the 1935 Works Progress Administration?,It rapidly created jobs in fields as varied as airport construction and mural painting.
A fundamental cause of the urban riots that broke out in many cities during the Lyndon Johnson administration was,the rising expectations of African Americans for an improved quality of life.
All of the following are challenges being faced by the United States in the 21st century EXCEPT,the existence of de jure segregation in the South.
Which of the following events occurred LAST?,Establishment of Quebec
The most compelling reason for European exploration in the 1400s was the,desire for an all-water route to the East.
The exploration of the New World,led to the rise of capitalism.
The first permanent European settlement in the territory that would become the United States was,St. Augustine.
The settlements of Jamestown and Plymouth differed in that,"the settlers of Jamestown were largely single men seeking gold and adventure, while the settlers of Plymouth were mostly family units seeking religious freedom."
Which person is correctly associated with a colony?,James Olgethorpe—Georgia
The headright system,helped to populate the colonies of Virginia and Maryland.
The major crops grown in the Southern colonies,were sold as exports.
The social structure that emerged in the colonies by 1750 differed from the social structure in Europe in that the colonial social structure,allowed for greater social mobility than in Europe.
One of the significant effects of the Great Awakening was that it,lessened the influence of the clergy in the colonies.
The Middle Passage referred to the,journey of African slaves from West Africa to the New World.
"The trade in slaves, rum, and molasses that took place during the 1700s among the colonies, Africa, and England was called",Triangular Trade.
"The British government countered the colonists' argument that they were not represented in Parliament and, therefore, could not be taxed by Britain, with the idea of",virtual representation.
"The French and Indian War, which ended in 1763, was significant because it",signaled a shift in the British policy of salutary neglect to one of British involvement in the affairs of the colonies.
The Intolerable Acts passed in 1774,resulted in the suspension of the charter of Massachusetts.
"Thomas Paine's pamphlet, Common Sense, was significant because it",outlined the reasons colonial independence from Great Britain was a logical step for the colonies to take.
One of the challenges facing the delegates to the Constitution Convention in 1787 was,the need to balance governmental powers and states' rights.
One of the most notable achievements of the Articles of Confederation was its,legislation concerning the settlement of the territories acquired from Great Britain at the end of the Revolutionary War.
"To convince the states to ratify the Constitution, James Madison, Alexander Hamilton, and John Jay wrote",The Federalist Papers.
Which statement best characterizes the attitude of the delegates to the Constitutional Convention toward the issue of slavery?,The delegates treated slavery as a political issue because it threatened the unity of the nation.
Washington's administration was significant because it,"was the first administration and, thus, set precedents for future administrations."
All of the following were part of Hamilton's financial program EXCEPT,"the establishment of the capital of the United States in Washington, D.C."
"In his ""Farewell Address,"" delivered in 1796, George Washington counseled the United States to",remain neutral when it came to conflict in Europe.
Thomas Jefferson's objection to the Bank of the United States centered around his belief in,strict construction of the Constitution.
"The election of 1800 has often been termed the ""Revolution of 1800."" This refers to the fact that it",was a peaceful transition of the control of the presidency from a Federalist to a Democratic-Republican.
The Supreme Court case of Marbury v. Madison (1803) was significant because it,established the court's power of judicial review.
The Missouri Compromise (1820) provided for all of the following EXCEPT,the extension of slavery into the Northwest Territory.
The Monroe Doctrine,created a sphere of influence for the United States in the Western Hemisphere.
The Whigs were,a pro-Bank party.
"Who accused John Quincy Adams of making a ""corrupt bargain""?",Andrew Jackson
Who did not support the idea of nullification?,Daniel Webster
A tariff would protect,cloth made in New England.
The Erie Canal connected,Northeast to West.
Match the reform to the reformer. V)    Mental institutions W)    Abolitionism X)    Suffrage Y)    Education Z)    Religion 1)    William Lloyd Garrison 2)    Charles Grandison Finney 3)    Horace Mann 4)    Dorothea Dix 5)    Elizabeth Cady Stanton Answer choices:,"V-4, W-1, X-5, Z-2"
"In the South,",slaves told each other Bible stories.
The cotton gin,allowed cotton to be grown profitably further West.
The Irish,settled in cities.
The gag rule was favored the most by,Southerners.
Manifest Destiny involved,expansion to the west.
"David Wilmot, author of the Wilmot Proviso (1846), was a congressman from",Pennsylvania.
Place these events in chronological order: I.    Kansas-Nebraska Act II.    Missouri Compromise III.    secession IV.    Bleeding Kansas V.    Uncle Tom's Cabin published Answer choices:,"II, V, I, IV, III"
Which position had the most unpredictable outcome?,Popular sovereignty
The Know-Nothings were,anti-immigrant.
Why did the Southern states secede after the election of 1860?,They wanted to preserve slavery.
"Of the states below, which one was President Lincoln most concerned about how the population felt about the Civil War?",Kentucky
Match the battle with its state. V)    Vicksburg1)    Georgia W)    Atlanta2)    Maryland X)    Richmond3)    Mississippi Y)    Gettysburg4)    Virginia Z)    Antietam5)    Pennsylvania Answer choices:,"V-3, W-1, Y-5, Z-2, X-4"
Place the following events in chronological order: 1)    Lincoln elected 2)    Lincoln took office 3)    Upper South secedes 4)    Lower South secedes 5)    Fort Sumter attacked Answer choices:,"1, 4, 2, 5, 3"
Which is the BEST explanation for why the South lost?,The war lasted too long.
The Freedman's Bureau was established to,help former slaves find jobs and protect them from discrimination.
"Under the terms of the Compromise of 1877, Republicans maintained control of the White House and agreed to",withdraw federal troops from the South.
"The Reconstruction Act of 1867 required that the former Confederate states, in order to gain readmission to the Union,",ratify the 14th Amendment and guarantee African American men the right to vote.
Pick the correct order for the following events: W)    Rutherford B. Hayes becomes president. X)    The South surrenders to end the Civil War. Y)    The act establishing Radical Reconstruction is passed. Z)    The Emancipation Proclamation is issued. Answer choices:,"Z, X Y, W"
Which of the following was NOT a major reason for the movement of large numbers of people from the east of the Mississippi River to the west of it during the second half of the 19th century?,People were trying to escape the air and water pollution common in the cities of the East.
The Dawes Act,"encouraged Native Americans to own individual plots of land, which they and their families would cultivate."
The purpose of the Homestead Act was to,attract people to settle in the West.
"""Exodusters"" were",African Americans who fled the South in the post–Civil War period.
"""Yellow-dog"" contracts",were part of the strategy used by owners to prevent the establishment of unions.
The Bessemer process created an inexpensive way to,create steel.
The Sherman Antitrust Act,was used most effectively against striking unions.
An important trend that characterized American society during the Gilded Age was,a growing economy.
Pick the choice that matches the author with the book he or she wrote. X)    Stephen Crane Y)    Willa Cather Z)    Henry James 1)    My ántonia 2)    The House of Mirth 3)    The Bostonians 4)    The Red Badge of Courage Answer choices:,X-4; Y-1; Z-3
"The ""new immigrants"" of the late 19th and early 20th century were primarily",Eastern and Southern Europeans.
Pick the answer that matches the person with the idea or movement he or she is associated with. X)    Charles Graham Sumner Y)    Jane Addams Z)    Andrew Carnegie 1)    the gospel of wealth 2)    social Darwinism 3)    pragmatism 4)    the settlement house movement Answer choices:,X-2; Y-4; Z-1
Urban political machines during the Gilded Age,often provided a social safety net in an age when welfare did not yet exist.
The term spoilsmen is most appropriately applied to,party loyalists who expected jobs in exchange for their political work.
Coxey's Army was,an agrarian protest movement against the government's inaction in the wake of the Panic of 1893.
A major source of farmers' problems in the late 19th century was,overproduction and lowered prices on their crops.
"Granger laws, passed in several states in the 1870s and 1880s,",regulated the rates railroads could charge farmers.
The Platt Amendment and the Roosevelt Corollary are similar in that they both,expanded the role of the United States in foreign nations.
The Spanish-American War is often considered a turning point in U.S. history because it,made the United States a significant imperialist power.
The Open Door policy,called for equal access to trade with China for all nations.
Alfred Mahan is best known in American history for his argument that,the United States should develop its naval power and establish overseas colonies if it hoped to be a world power.
The Progressive movement could most accurately be described as a,middle-class response to urbanization and industrialization.
Theodore Roosevelt used his position as president to,push for measures to protect the environment.
The passage of the Federal Reserve Act was important because it,created a mechanism to regulate the money supply.
All of the following led to World War I EXCEPT,the rise of capitalism.
The immediate cause of the United States's entrance into World War I was the,announcement by Germany of the use of unrestricted submarine warfare.
"Woodrow Wilson's Fourteen Points, written in 1918, aimed to",prevent future wars by rectifying the causes of World War I.
Henry Cabot Lodge objected to the League of Nations on the grounds that it,might lead the United States into future wars.
The National Origins Act of 1924,greatly reduced the number of immigrants from Eastern and Southern Europe.
"This African American leader thought the way for African Americans to improve their position in American society was to gain vocational training to obtain jobs in agriculture, craft work, and manufacturing.",Booker T. Washington
